Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
10y/5%,cuco::init,10,0.0340,0.00340,0.00301,0.00384,256,634,24,0,0,0,100.0,thr,0.00
10y/5%,cub::ForEach,10,0.0148,0.00148,0.00131,0.00154,256,7,16,0,0,0,100.0,thr,0.00
10y/6%,Stage1,27,44154.9515,1635.36857,998.47966,2553.61832,16,56,110,0,0,0,28.1,reg,84.60
10y/6%,Stage3,27,5822.1107,215.63373,113.96279,348.53733,16,56,118,0,0,0,26.6,reg,11.16
10y/6%,cuco::insert,10,1058.4462,105.84462,77.91555,142.08060,128,21461,36,48,0,0,75.0,shmem,2.03
10y/6%,Stage2,27,646.6303,23.94927,9.39179,34.35163,16,56,118,0,0,0,26.6,reg,1.24
10y/6%,cuco::init,388742,468.6769,0.00121,0.00109,0.00170,256,1,16,0,0,0,100.0,thr,0.90
10y/6%,Stage4,27,30.0634,1.11346,0.84272,1.32580,16,56,107,0,0,0,28.1,reg,0.06
10y/6%,ExtractSizes,54,6.6938,0.12396,0.00486,0.40080,256,56,32,0,0,0,100.0,thr,0.01
10y/6%,cuco::insert_if,10,3.0496,0.30496,0.13040,0.50973,128,36,37,48,0,0,75.0,shmem,0.01
10y/6%,cuco::init,10,0.0349,0.00349,0.00304,0.00429,256,671,24,0,0,0,100.0,thr,0.00
10y/6%,cub::ForEach,10,0.0141,0.00141,0.00134,0.00160,256,9,16,0,0,0,100.0,thr,0.00
30y/1%,Stage1,30,38733.0074,1291.10025,914.58769,1868.70727,16,22,110,0,0,0,28.1,reg,83.02
30y/1%,Stage3,30,4514.0948,150.46983,111.68144,191.84866,16,22,118,0,0,0,26.6,reg,9.68
30y/1%,cuco::insert,30,2614.4702,87.14901,60.27924,123.50121,128,17989,36,48,0,0,75.0,shmem,5.60
30y/1%,Stage2,30,552.7063,18.42354,11.77769,31.85921,16,22,118,0,0,0,26.6,reg,1.18
30y/1%,cuco::init,171025,206.9164,0.00121,0.00109,0.00176,256,1,16,0,0,0,100.0,thr,0.44
30y/1%,Stage4,30,28.5300,0.95100,0.86346,1.07744,16,22,107,0,0,0,28.1,reg,0.06
30y/1%,ExtractSizes,60,2.9833,0.04972,0.00454,0.17741,256,22,32,0,0,0,100.0,thr,0.01
